年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),加拿大出口量(公噸),加拿大出口值(千美元),加拿大進口量(公噸),加拿大進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),加拿大GDP per capita (current US$),"加拿大Population, total",台灣出口值(千美元),台灣關稅,哥斯大黎加關稅,美國關稅,宏都拉斯關稅,墨西哥關稅,瓜地馬拉關稅,台灣-加拿大出口值(千美元),台灣對加拿大的距離
1961,-,-, - , - , - , - , - , - ,-,2231.2938,18271000,-,-,-,-,-,-,-,-,-
1962,-,-, - , - , - , - , - , - ,-,2255.23,18614000,-,-,-,-,-,-,-,-,-
1963,-,-, - , - , - , - , - , - ,-,2354.8391,18964000,-,-,-,-,-,-,-,-,-
1964,-,-, - , - , - , - , - , - ,-,2529.5182,19325000,-,-,-,-,-,-,-,-,-
1965,-,-, - , - , - , - , - , - ,-,2739.5858,19678000,-,-,-,-,-,-,-,-,-
1966,-,-, - , - , - , - , - , - ,-,3010.7059,20048000,-,-,-,-,-,-,-,-,-
1967,-,-, - , - , - , - , - , - ,-,3173.0762,20412000,-,-,-,-,-,-,-,-,-
1968,-,-, - , - , - , - , - , - ,-,3411.0602,20744000,-,-,-,-,-,-,-,-,-
1969,-,-, - , - , - , - , - , - ,-,3703.9904,21028000,-,-,-,-,-,-,-,-,-
1970,-,-, - , - , - , - , - , - ,-,4121.9328,21324000,-,-,-,-,-,-,-,-,-
1971,-,-, - , - , - , - , - , - ,-,4586.2558,21645535,-,-,-,-,-,-,-,-,-
1972,-,-, - , - , - , - , - , - ,-,5141.6167,21993631,-,-,-,-,-,-,-,-,-
1973,-,-, - , - , - , - , - , - ,-,5870.6006,22369408,-,-,-,-,-,-,-,-,-
1974,-,-, - , - , - , - , - , - ,-,7043.4744,22774087,-,-,-,-,-,-,-,-,-
1975,-,-, - , - , - , - , - , - ,-,7489.9405,23209000,-,-,-,-,-,-,-,-,-
1976,-,-, - , - , - , - , - , - ,-,8783.7216,23518000,-,-,-,-,-,-,-,-,-
1977,-,-, - , - , - , - , - , - ,-,8892.7617,23796000,-,-,-,-,-,-,-,-,-
1978,-,-, - , - , - , - , - , - ,-,9096.0587,24036000,-,-,-,-,-,-,-,-,-
1979,-,-, - , - , - , - , - , - ,-,10012.444,24277000,-,-,-,-,-,-,-,-,-
1980,-,-, - , - , - , - , - , - ,-,11135.438,24593000,-,-,-,-,-,-,-,-,-
1981,-,-, - , - , - , - , - , - ,-,12297.7857,24900000,-,-,-,-,-,-,-,-,-
1982,-,-, - , - , - , - , - , - ,-,12439.7478,25202000,-,-,-,-,-,-,-,-,-
1983,-,-, - , - , - , - , - , - ,-,13377.8957,25456000,-,-,-,-,-,-,-,-,-
1984,-,-, - , - , - , - , - , - ,-,13826.65,25702000,-,-,-,-,-,-,-,-,-
1985,-,-, - , - , - , - , - , - ,-,14060.4618,25942000,-,-,-,-,-,-,-,-,-
1986,-,-, - , - , - , - , - , - ,-,14403.8287,26204000,-,-,-,-,-,-,-,-,-
1987,-,-, - , - , - , - , - , - ,-,16245.4517,26550000,-,-,-,-,-,-,-,-,-
1988,-,-, - , - , - , - , - , - ,-,18864.2629,26895000,-,-,-,-,-,-,-,-,-
1989,-,-, - , - , - , - , - , - ,-,20638.29,27379000,-,-,-,-,-,-,-,-,-
1990,-,-, - , - , - , - , - , - ,-,21371.2911,27791000,-,-,-,-,-,-,-,-,-
1991,-,-, - , - , - , - , - , - ,-,21664.5986,28171682,-,-,-,-,-,-,-,-,-
1992,-,-, - , - , - , - , - , - ,-,20771.2504,28519597,-,-,-,-,-,-,-,-,-
1993,-,-, - , - , - , - , - , - ,-,20017.4298,28833410,-,-,-,-,-,-,-,-,-
1994,-,-, - , - , - , - , - , - ,-,19859.204,29111906,-,-,-,-,-,-,-,-,-
1995,-,-, - , - , - , - , - , - ,-,20577.4894,29354000,-,-,-,-,-,-,-,-,-
1996,-,-, - , - , - , - , - , - ,-,21183.2201,29671900,-,-,-,-,-,-,-,-,-
1997,-,-, - , - , - , - , - , - ,-,21770.1341,29987200,-,-,-,-,-,-,-,-,-
1998,-,-, - , - , - , - , - , - ,-,20887.8395,30247900,-,-,-,-,-,-,-,-,-
1999,-,-, - , - , - , - , - , - ,-,22167.2258,30499200,-,-,-,-,-,-,-,-,-
2000,-,-, - , - , - , - , - , - ,-,24124.1692,30769700,-,-,-,-,-,-,-,-,-
2001,-,-,3,6,49609,31307,730617,1161837,523322,23691.5947,31081900,860,-,-,-,-,-,-,0,-
2002,-,-,0,0,56647,38480,918224,1320366,644176,24167.8043,31362000,378,-,-,-,-,-,-,0,-
2003,-,-,18,14,46074,52166,1176071,1455636,811520,28172.1488,31676000,788,-,-,-,-,-,-,5,-
2004,-,-,13,13,71118,65999,1372314,1713517,983929,31979.872,31995000,970,-,-,-,-,-,-,12,-
2005,-,-,38,68,70355,79101,1505646,1954169,1143160,36189.5884,32312000,1097,-,-,-,-,-,-,0,-
2006,-,-,3,12,104363,90065,1875986,2297317,1325617,40386.6995,32570505,630,-,-,-,-,-,-,1,-
2007,-,-,84,144,104862,93061,2142214,2531499,1423936,44544.5268,32887928,579,-,-,-,-,-,-,5,-
2008,-,-,360,332,105783,96420,2326573,2412032,1542620,46596.336,33245773,740,-,-,-,-,-,-,28,-
2009,-,-,72,199,96521,88185,2093817,2493947,1323182,40773.4544,33628571,1429,-,-,-,-,-,-,44,-
2010,-,-,28,93,103301,97424,2201958,2709938,1524182,47447.476,34005274,2086,-,-,-,-,-,-,19,-
2011,-,-,146,251,108672,101877,2388527,2845406,1698474,52082.2108,34342780,2734,-,-,-,-,-,-,0,-
2012,-,-,37,120,121312,105843,2333459,2965645,1712281,52496.6949,34750545,3507,-,-,-,-,-,-,0,-
2013,-,-,64,164,122630,107971,2430625,3036505,1817576,52413.7212,35155451,4934,-,-,-,-,-,-,14,-
2014,-,-,89,528,126289,110921,2601581,3223667,1877026,50440.4338,35544564,9181,-,-,-,-,-,-,42,-
2015,-,-,187,1070,109504,99052,2322571,2948556,1671253,43315.7004,35848610,26407,-,-,-,-,-,-,16,-
2016,-,-,157,771,118539,99174,2471803, - ,1931378,42157.928,36286425,38845,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,12090.98
2017, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2018, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2019, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2020, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2021, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2022, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2023, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2024, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2025, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2026, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
