年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),南韓出口量(公噸),南韓出口值(千美元),南韓進口量(公噸),南韓進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),南韓GDP per capita (current US$),"南韓Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,哥斯大黎加關稅,墨西哥關稅,馬來西亞關稅,泰國關稅,台灣-南韓出口值(千美元),台灣對南韓的距離
1961,-,-, - , - , - , - , - , - ,-,93.81621,25765673,-,-,-,-,-,-,-,-,-
1962,-,-, - , - , - , - , - , - ,-,106.134,26513030,-,-,-,-,-,-,-,-,-
1963,-,-, - , - , - , - , - , - ,-,146.29459,27261747,-,-,-,-,-,-,-,-,-
1964,-,-, - , - , - , - , - , - ,-,123.58846,27984155,-,-,-,-,-,-,-,-,-
1965,-,-, - , - , - , - , - , - ,-,108.70382,28704674,-,-,-,-,-,-,-,-,-
1966,-,-, - , - , - , - , - , - ,-,133.44981,29435571,-,-,-,-,-,-,-,-,-
1967,-,-, - , - , - , - , - , - ,-,161.11576,30130983,-,-,-,-,-,-,-,-,-
1968,-,-, - , - , - , - , - , - ,-,198.36566,30838302,-,-,-,-,-,-,-,-,-
1969,-,-, - , - , - , - , - , - ,-,243.3344,31544266,-,-,-,-,-,-,-,-,-
1970,-,-, - , - , - , - , - , - ,-,279.1252,32240827,-,-,-,-,-,-,-,-,-
1971,-,-, - , - , - , - , - , - ,-,300.76484,32882704,-,-,-,-,-,-,-,-,-
1972,-,-, - , - , - , - , - , - ,-,323.59615,33505406,-,-,-,-,-,-,-,-,-
1973,-,-, - , - , - , - , - , - ,-,405.88293,34103149,-,-,-,-,-,-,-,-,-
1974,-,-, - , - , - , - , - , - ,-,561.56719,34692266,-,-,-,-,-,-,-,-,-
1975,-,-, - , - , - , - , - , - ,-,615.20142,35280725,-,-,-,-,-,-,-,-,-
1976,-,-, - , - , - , - , - , - ,-,830.69919,35848523,-,-,-,-,-,-,-,-,-
1977,-,-, - , - , - , - , - , - ,-,1050.898,36411795,-,-,-,-,-,-,-,-,-
1978,-,-, - , - , - , - , - , - ,-,1398.47876,36969185,-,-,-,-,-,-,-,-,-
1979,-,-, - , - , - , - , - , - ,-,1773.52685,37534236,-,-,-,-,-,-,-,-,-
1980,-,-, - , - , - , - , - , - ,-,1704.46974,38123775,-,-,-,-,-,-,-,-,-
1981,-,-, - , - , - , - , - , - ,-,1870.33873,38723248,-,-,-,-,-,-,-,-,-
1982,-,-, - , - , - , - , - , - ,-,1977.64164,39326352,-,-,-,-,-,-,-,-,-
1983,-,-, - , - , - , - , - , - ,-,2180.49484,39910403,-,-,-,-,-,-,-,-,-
1984,-,-, - , - , - , - , - , - ,-,2390.67315,40405956,-,-,-,-,-,-,-,-,-
1985,3522,-, - , - , - , - , - , - ,-,2457.328,40805744,-,-,-,-,-,-,-,-,-
1986,3681,-, - , - , - , - , - , - ,-,2803.36876,41213674,-,-,-,-,-,-,-,-,-
1987,4888,-, - , - , - , - , - , - ,-,3510.99002,41621690,-,-,-,-,-,-,-,-,-
1988,7904,-, - , - , - , - , - , - ,-,4686.13733,42031247,-,-,-,-,-,-,-,-,-
1989,9908,-, - , - , - , - , - , - ,-,5736.90381,42449038,-,-,-,-,-,-,-,-,-
1990,9115,-, - , - , - , - , - , - ,-,6516.30576,42869283,-,-,-,-,-,-,-,-,-
1991,8500,-, - , - , - , - , - , - ,-,7523.477,43295704,-,-,-,-,-,-,-,-,-
1992,7000,-, - , - , - , - , - , - ,-,8001.54099,43747962,-,-,-,-,-,-,-,-,-
1993,5500,-, - , - , - , - , - , - ,-,8740.9456,44194628,-,-,-,-,-,-,-,-,-
1994,4000,-, - , - , - , - , - , - ,-,10205.80747,44641540,-,-,-,-,-,-,-,-,-
1995,2737,-, - , - , - , - , - , - ,-,12332.97935,45092991,-,-,-,-,-,-,-,-,-
1996,2419,-, - , - , - , - , - , - ,-,13137.90807,45524681,-,-,-,-,-,-,-,-,-
1997,2076,-, - , - , - , - , - , - ,-,12131.8747,45953580,-,-,-,-,-,-,-,-,-
1998,1280,-, - , - , - , - , - , - ,-,8085.32353,46286503,-,-,-,-,-,-,-,-,-
1999,2286,-, - , - , - , - , - , - ,-,10409.32689,46616677,-,-,-,-,-,-,-,-,-
2000,1366,-, - , - , - , - , - , - ,-,11947.57913,47008111,-,-,-,-,-,-,-,-,-
2001,1064,-, - ,0,25536,11147,730617,1161837,523322,11252.90755,47370164,860,-,-,-,-,-,-,0,-
2002,1057,-,2,1,31954,12016,918224,1320366,644176,12782.52553,47644736,378,-,-,-,-,-,-,0,-
2003,1000,-, - ,0,36738,16386,1176071,1455636,811520,14209.38852,47892330,788,-,-,-,-,-,-,0,-
2004,1036,-,7,3,43363,24440,1372314,1713517,983929,15907.66583,48082519,970,-,-,-,-,-,-,41,-
2005,1068,-, - ,0,48763,34873,1505646,1954169,1143160,18639.52221,48184561,1097,-,-,-,-,-,-,124,-
2006,1091,-,-,0,59429,42946,1875986,2297317,1325617,20888.38015,48438292,630,-,-,-,-,-,-,5,-
2007,1093,-,-,0,77275,53090,2142214,2531499,1423936,23060.70788,48683638,579,-,-,-,-,-,-,41,-
2008,1098,-,-,0,67032,46678,2326573,2412032,1542620,20430.63946,49054708,740,-,-,-,-,-,-,26,-
2009,1105,-,-,0,54526,38473,2093817,2493947,1323182,18291.9196,49307835,1429,-,-,-,-,-,-,74,-
2010,1100,-,19,18,60565,44778,2201958,2709938,1524182,22086.95292,49554112,2086,-,-,-,-,-,-,65,-
2011,1060,-,-,0,73010,53328,2388527,2845406,1698474,24079.78852,49936638,2734,-,-,-,-,-,-,0,-
2012,1100,-,-,0,73131,55630,2333459,2965645,1712281,24358.78218,50199853,3507,-,-,-,-,-,-,0,-
2013,800,-,1,1,75917,60996,2430625,3036505,1817576,25890.01867,50428893,4934,-,-,-,-,-,-,50,-
2014,950,-,9,9,75420,62216,2601581,3223667,1877026,27811.36638,50746659,9181,-,-,-,-,-,-,11,-
2015,1026,-,0,2,68373,56482,2322571,2948556,1671253,27105.07623,51014947,26407,-,-,-,-,-,-,29,-
2016,1019,-,0,7,77375,71893,2471803,-,1931378,27538.80613,51245707,38845,30.00%,30.00%,30.00%,30.00%,30.00%,30.00%,97,1475.758
2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
