年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),日本出口量(公噸),日本出口值(千美元),日本進口量(公噸),日本進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),日本GDP per capita (current US$),"日本Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,哥斯大黎加關稅,印度尼西亞關稅,馬來西亞關稅,美國關稅,台灣-日本出口值(千美元),台灣對日本的距離
1961,33600,-, - , - , - , - , - , - ,-,563.58676,94943000,-,-,-,-,-,-,-,-,-
1962,32700,-, - , - , - , - , - , - ,-,633.64032,95832000,-,-,-,-,-,-,-,-,-
1963,42800,-, - , - , - , - , - , - ,-,717.86692,96812000,-,-,-,-,-,-,-,-,-
1964,47800,-, - , - , - , - , - , - ,-,835.65725,97826000,-,-,-,-,-,-,-,-,-
1965,67100,-, - , - , - , - , - , - ,-,919.77669,98883000,-,-,-,-,-,-,-,-,-
1966,87100,-, - , - , - , - , - , - ,-,1058.50356,99790000,-,-,-,-,-,-,-,-,-
1967,86600,-, - , - , - , - , - , - ,-,1228.90921,100725000,-,-,-,-,-,-,-,-,-
1968,74900,-, - , - , - , - , - , - ,-,1450.61965,101061000,-,-,-,-,-,-,-,-,-
1969,101100,-, - , - , - , - , - , - ,-,1669.0982,103172000,-,-,-,-,-,-,-,-,-
1970,67000,-, - , - , - , - , - , - ,-,2027.06588,104345000,-,-,-,-,-,-,-,-,-
1971,70800,-, - , - , - , - , - , - ,-,2260.37595,105697000,-,-,-,-,-,-,-,-,-
1972,59600,-, - , - , - , - , - , - ,-,2951.76087,107188000,-,-,-,-,-,-,-,-,-
1973,85100,-, - , - , - , - , - , - ,-,3977.25109,108079000,-,-,-,-,-,-,-,-,-
1974,77000,-, - , - , - , - , - , - ,-,4331.4009,110162000,-,-,-,-,-,-,-,-,-
1975,64500,-, - , - , - , - , - , - ,-,4635.1243,111940000,-,-,-,-,-,-,-,-,-
1976,59100,-, - , - , - , - , - , - ,-,5171.03649,112771000,-,-,-,-,-,-,-,-,-
1977,49000,-, - , - , - , - , - , - ,-,6303.15649,113863000,-,-,-,-,-,-,-,-,-
1978,50000,-, - , - , - , - , - , - ,-,8776.40846,114898000,-,-,-,-,-,-,-,-,-
1979,52900,-, - , - , - , - , - , - ,-,9058.24202,115870000,-,-,-,-,-,-,-,-,-
1980,56200,-, - , - , - , - , - , - ,-,9416.63028,116782000,-,-,-,-,-,-,-,-,-
1981,58100,-, - , - , - , - , - , - ,-,10331.74147,117648000,-,-,-,-,-,-,-,-,-
1982,51500,-, - , - , - , - , - , - ,-,9539.08031,118449000,-,-,-,-,-,-,-,-,-
1983,44300,-, - , - , - , - , - , - ,-,10333.34008,119259000,-,-,-,-,-,-,-,-,-
1984,35900,-, - , - , - , - , - , - ,-,10912.86325,120018000,-,-,-,-,-,-,-,-,-
1985,41100,-, - , - , - , - , - , - ,-,11599.73837,120754000,-,-,-,-,-,-,-,-,-
1986,36800,-, - , - , - , - , - , - ,-,17079.59571,121492000,-,-,-,-,-,-,-,-,-
1987,38900,-, - , - , - , - , - , - ,-,20593.52364,122091000,-,-,-,-,-,-,-,-,-
1988,35500,-, - , - , - , - , - , - ,-,24880.21486,122613000,-,-,-,-,-,-,-,-,-
1989,36400,-, - , - , - , - , - , - ,-,24792.19323,123116000,-,-,-,-,-,-,-,-,-
1990,31900,-, - , - , - , - , - , - ,-,25417.27939,123537000,-,-,-,-,-,-,-,-,-
1991,29300,-, - , - , - , - , - , - ,-,28874.35896,123921000,-,-,-,-,-,-,-,-,-
1992,29400,-, - , - , - , - , - , - ,-,31376.13786,124229000,-,-,-,-,-,-,-,-,-
1993,26700,-, - , - , - , - , - , - ,-,35865.65593,124536000,-,-,-,-,-,-,-,-,-
1994,25000,-, - , - , - , - , - , - ,-,39268.56687,124961000,-,-,-,-,-,-,-,-,-
1995,25600,-, - , - , - , - , - , - ,-,43440.36787,125439000,-,-,-,-,-,-,-,-,-
1996,18800,-, - , - , - , - , - , - ,-,38436.92631,125757000,-,-,-,-,-,-,-,-,-
1997,14700,-, - , - , - , - , - , - ,-,35021.71909,126057000,-,-,-,-,-,-,-,-,-
1998,12800,-, - , - , - , - , - , - ,-,31902.7671,126400000,-,-,-,-,-,-,-,-,-
1999,12600,-, - , - , - , - , - , - ,-,36026.55608,126631000,-,-,-,-,-,-,-,-,-
2000,11200,827.7, - , - , - , - , - , - ,-,38532.04088,126843000,-,-,-,-,-,-,-,-,-
2001,11200,734, - ,0,118357,58971,730617,1161837,523322,33846.46564,127149000,860,-,-,-,-,-,-,859,-
2002,12700,654, - ,0,122880,61590,918224,1320366,644176,32289.35054,127445000,378,-,-,-,-,-,-,366,-
2003,10800,730.6, - ,0,122698,64593,1176071,1455636,811520,34808.39092,127718000,788,-,-,-,-,-,-,751,-
2004,11500,781.9, - ,0,142288,85176,1372314,1713517,983929,37688.72234,127761000,970,-,-,-,-,-,-,866,-
2005,10400,705, - ,0,155438,88859,1505646,1954169,1143160,37217.64873,127773000,1097,-,-,-,-,-,-,764,-
2006,10700,858.1, - ,0,152498,85933,1875986,2297317,1325617,35433.98896,127854000,630,-,-,-,-,-,-,471,-
2007,10400,1032.7, - ,0,165825,93381,2142214,2531499,1423936,35275.22843,128001000,579,-,-,-,-,-,-,414,-
2008,9910,846.6,0,2,144475,99455,2326573,2412032,1542620,39339.29757,128063000,740,-,-,-,-,-,-,573,-
2009,9620,935.1, - ,0,143990,110998,2093817,2493947,1323182,40855.17564,128047000,1429,-,-,-,-,-,-,774,-
2010,8780,943.3,0,3,142585,112058,2201958,2709938,1524182,44507.67639,128070000,2086,-,-,-,-,-,-,1037,-
2011,6350,974.9,87,88,152877,127495,2388527,2845406,1698474,48167.99727,127833000,2734,-,-,-,-,-,-,982,-
2012,6260,1140.5,-,0,174045,142525,2333459,2965645,1712281,48603.47665,127629000,3507,-,-,-,-,-,-,772,-
2013,6590,1064.6,-,0,181197,118009,2430625,3036505,1817576,40454.44746,127445000,4934,-,-,-,-,-,-,935,-
2014,7130,1053.4,-,0,166320,117387,2601581,3223667,1877026,38096.21151,127276000,9181,-,-,-,-,-,-,1097,-
2015,7660,1164.9,7,36,150621,109385,2322571,2948556,1671253,34474.13736,127141000,26407,-,-,-,-,-,-,1673,-
2016,7800,1348.4,7,44,143173,127033,2471803, - ,1931378,38894.46773,126994511,38845,12.10%,9.50%,12.10%,11.10%,11.10%,12.10%,1550,2103.047
2017, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2018, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2019, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2020, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2021, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2022, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2023, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2024, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2025, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2026, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
